Year.AD,m
-53050,528.5
-53030,528.3
-53010,527.9
-52990,527.8
-52970,527
-52950,526.6
-52930,526
-52910,525.3
-52890,524.7
-52870,523.9
-52850,522.9
-52830,521.9
-52810,521.1
-52790,520
-52770,519
-52750,518
-52730,516.7
-52710,515.2
-52690,513.8
-52670,512.4
-52650,510.8
-52630,509.1
-52610,507.5
-52590,505.8
-52570,504.1
-52550,502
-52530,500.1
-52510,498
-52490,495.9
-52470,493.8
-52450,491.3
-52430,489
-52410,486.5
-52390,484.1
-52370,481.4
-52350,478.7
-52330,476
-52310,472.9
-52290,470.1
-52270,466.9
-52250,463.7
-52230,460.4
-52210,457.2
-52190,453.7
-52170,450.1
-52150,446.4
-52130,442.9
-52110,439
-52090,435
-52070,431.1
-52050,426.9
-52030,422.8
-52010,418.4
-51990,414
-51970,409.6
-51950,404.9
-51930,400.1
-51910,395.3
-51890,390.3
-51870,385.3
-51850,380.1
-51830,375
-51810,369.4
-51790,364.1
-51770,358.6
-51750,352.8
-51730,347.2
-51710,341.3
-51690,335.5
-51670,329.7
-51650,323.7
-51630,317.8
-51610,311.8
-51590,305.8
-51570,300
-51550,294
-51530,288.1
-51510,282.3
-51490,276.5
-51470,270.7
-51450,265
-51430,259.3
-51410,253.8
-51390,248.4
-51370,243.2
-51350,237.8
-51330,232.9
-51310,227.9
-51290,223.2
-51270,218.7
-51250,214.1
-51230,209.7
-51210,205.7
-51190,201.8
-51170,198
-51150,194.6
-51130,191.4
-51110,188.1
-51090,185.5
-51070,183
-51050,180.5
-51030,178.8
-51010,177
-50990,175.5
-50970,174.4
-50950,173.6
-50930,172.9
-50910,172.7
-50890,172.5
-50870,172.7
-50850,173
-50830,173.5
-50810,174.4
-50790,175.1
-50770,176.4
-50750,177.5
-50730,179
-50710,180.6
-50690,182.5
-50670,184.3
-50650,186.2
-50630,188.4
-50610,190.5
-50590,192.8
-50570,195.2
-50550,197.6
-50530,200.2
-50510,202.7
-50490,205.4
-50470,208
-50450,210.6
-50430,213.4
-50410,215.9
-50390,218.7
-50370,221.3
-50350,224
-50330,226.6
-50310,229.1
-50290,231.7
-50270,233.9
-50250,236.2
-50230,238.6
-50210,240.7
-50190,242.8
-50170,244.5
-50150,246.3
-50130,248.1
-50110,249.6
-50090,251
-50070,252.2
-50050,253.4
-50030,254.1
-50010,254.9
